"filename", "language", "YAML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "XML", "Groovy", "Batch", "Properties", "TypeScript JSX", "PostCSS", "Java", "comment", "blank", "total"
"c:\Users\LENOVO\trashure\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\LENOVO\trashure\frontend-vite\README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\LENOVO\trashure\frontend-vite\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 9, 73
"c:\Users\LENOVO\trashure\frontend-vite\android\app\capacitor.build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\LENOVO\trashure\frontend-vite\android\app\release\output-metadata.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 6, 27
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 4, 36
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\java\com\trashure\app\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 1, 171
